ChampionShip Name,Team A,Team B,Score,Time
تصفيات كأس العالم - أمريكا الجنوبية,الأرجنتين,البرازيل,4 - 1,02:00
تصفيات كأس العالم - أمريكا الجنوبية,تشيلي,إكوادور,0 - 0,02:00
تصفيات كأس العالم - أمريكا الجنوبية,كولومبيا,باراجواي,2 - 2,02:00
تصفيات كأس العالم - أمريكا الجنوبية,فنزويلا,بيرو,1 - 0,02:00
دوري القسم الثاني-أ,القناة,طنطا‏,0 - 1,21:30
دوري القسم الثاني-أ,سبورتنج,راية الرياضي,0 - 0,21:30
دوري القسم الثاني-أ,السكة الحديد مودرن,بروكسي,2 - 2,21:30
دوري القسم الثاني-أ,المصرية للاتصالات,المنصورة,0 - 3,21:30
دوري القسم الثاني-أ,المقاولون العرب,منتخب السويس,2 - 0,21:30
دوري القسم الثاني-أ,كهرباء الإسماعيلية,أبو قير للاسمدة,1 - 2,21:30
دوري القسم الثاني-أ,الداخلية,وادي دجلة,1 - 2,21:30
دوري القسم الثاني-أ,الترسانة,لافيينا أف سي,1 - 0,21:30
دوري القسم الثاني-أ,بلدية المحلة,ديروط,2 - 1,21:30
دوري القسم الثاني-أ,بترول أسيوط,أسوان,1 - 2,21:30
